Kod;Namn;Kommun;Län;Folkmängd;Area;Land;Sjö1;Sjö2;Hav;Täthet;DD Latitude;DD Longitude;Country
1430;;Munkedals kommun;Västra Götalands län;10437;675,02;634,02;33,67;0;7,33;16,46;;;Sweden
2026;;Gagnefs kommun;Dalarnas län;10232;812,39;767,23;45,16;0;0;13,34;;;Sweden
767;;Markaryds kommun;Kronobergs län;10179;532,84;517,15;15,69;0;0;19,68;;;Sweden
2361;;Härjedalens kommun;Jämtlands län;10149;11859,63;11283,83;575,8;0;0;0,9;;;Sweden
2023;;Malung-Sälens kommun;Dalarnas län;10098;4312,5;4084,89;227,61;0;0;2,47;;;Sweden
1257;;Örkelljunga kommun;Skåne län;10052;329,7;319,5;10,2;0;0;31,46;;;Sweden
1907;;Surahammars kommun;Västmanlands län;10000;368,99;343,9;25,09;0;0;29,08;;;Sweden
1765;;Årjängs kommun;Värmlands län;9942;1653,04;1409,44;243,6;0;0;7,05;;;Sweden
1460;;Bengtsfors kommun;Västra Götalands län;9868;1059,18;882,98;176,2;0;0;11,18;;;Sweden
513;;Kinda kommun;Östergötlands län;9860;1301,96;1129,4;172,56;0;0;8,73;;;Sweden
2583;;Haparanda kommun;Norrbottens län;9784;1868,27;921,27;38,58;0;908,42;10,62;;;Sweden
617;;Gnosjö kommun;Jönköpings län;9735;450,05;420,55;29,5;0;0;23,15;;;Sweden
1862;;Degerfors kommun;Örebro län;9669;433,71;383,95;49,76;0;0;25,18;;;Sweden
2104;;Hofors kommun;Gävleborgs län;9648;445,72;409,95;35,77;0;0;23,53;;;Sweden
760;;Uppvidinge kommun;Kronobergs län;9545;1226,65;1171,88;54,77;0;0;8,15;;;Sweden
1466;;Herrljunga kommun;Västra Götalands län;9492;509,52;497,48;12,04;0;0;19,08;;;Sweden
2132;;Nordanstigs kommun;Gävleborgs län;9481;2526,01;1370,48;84,85;0;1070,68;6,92;;;Sweden
2260;;Ånge kommun;Västernorrlands län;9438;3295,61;3050,26;245,35;0;0;3,09;;;Sweden
862;;Emmaboda kommun;Kalmar län;9406;718,53;689,54;28,99;0;0;13,64;;;Sweden
319;;Älvkarleby kommun;Uppsala län;9395;614,13;215,24;20,29;0;378,6;43,65;;;Sweden
1473;;Töreboda kommun;Västra Götalands län;9374;591,14;540,69;50,45;0;0;17,34;;;Sweden
1461;;Melleruds kommun;Västra Götalands län;9363;944,46;513,74;47,62;383,1;0;18,23;;;Sweden
1443;;Bollebygds kommun;Västra Götalands län;9284;282,39;263,16;19,23;0;0;35,28;;;Sweden
428;;Vingåkers kommun;Södermanlands län;9218;439,45;370,32;41,51;27,62;0;24,89;;;Sweden
1497;;Hjo kommun;Västra Götalands län;9100;584,47;297,04;5,09;282,34;0;30,64;;;Sweden
1427;;Sotenäs kommun;Västra Götalands län;9074;684,37;138,2;1,23;0;544,94;65,66;;;Sweden
1764;;Grums kommun;Värmlands län;9029;478,81;386,36;47,87;44,58;0;23,37;;;Sweden
761;;Lessebo kommun;Kronobergs län;8820;456,36;412,54;43,82;0;0;21,38;;;Sweden
2460;;Vännäs kommun;Västerbottens län;8785;553,7;529,49;24,21;0;0;16,59;;;Sweden
1960;;Kungsörs kommun;Västmanlands län;8614;227,13;202,62;0,93;23,58;0;42,51;;;Sweden
1730;;Eda kommun;Värmlands län;8592;894,93;820,18;74,75;0;0;10,48;;;Sweden
2560;;Älvsbyns kommun;Norrbottens län;8238;1795,24;1699,24;96;0;0;4,85;;;Sweden
563;;Valdemarsviks kommun;Östergötlands län;7944;2049,55;733,97;43,12;0;1272,46;10,82;;;Sweden
1814;;Lekebergs kommun;Örebro län;7888;481,67;463,16;18,51;0;0;17,03;;;Sweden
584;;Vadstena kommun;Östergötlands län;7445;413,26;191,6;16,46;205,2;0;38,86;;;Sweden
1275;;Perstorps kommun;Skåne län;7436;161,93;158,77;3,16;0;0;46,84;;;Sweden
642;;Mullsjö kommun;Jönköpings län;7363;211,04;200,13;10,91;0;0;36,79;;;Sweden
2401;;Nordmalings kommun;Västerbottens län;7121;2472,26;1229,59;40,21;0;1202,46;5,79;;;Sweden
2326;;Bergs kommun;Jämtlands län;7111;6145,46;5710,18;435,28;0;0;1,25;;;Sweden
834;;Torsås kommun;Kalmar län;7104;605,23;468,35;1,59;0;135,29;15,17;;;Sweden
2039;;Älvdalens kommun;Dalarnas län;7096;7142,83;6871,91;270,92;0;0;1,03;;;Sweden
1863;;Hällefors kommun;Örebro län;7092;1151,26;984,96;166,3;0;0;7,2;;;Sweden
1446;;Karlsborgs kommun;Västra Götalands län;6991;797,32;405,82;77,27;314,23;0;17,23;;;Sweden
2034;;Orsa kommun;Dalarnas län;6884;1797,39;1730,79;66,6;0;0;3,98;;;Sweden
2021;;Vansbro kommun;Dalarnas län;6825;1657,34;1539,55;117,79;0;0;4,43;;;Sweden
2462;;Vilhelmina kommun;Västerbottens län;6781;8740,52;8048,43;692,09;0;0;0,84;;;Sweden
604;Aneby;Aneby kommun;Jönköpings län;6774;553,89;517,68;36,21;0;0;13,09;57,838069;14,8100784;Sweden
2409;;Robertsfors kommun;Västerbottens län;6767;2369,66;1292,32;21,06;0;1056,28;5,24;;;Sweden
1439;;Färgelanda kommun;Västra Götalands län;6578;618,32;588,98;29,34;0;0;11,17;;;Sweden
2305;;Bräcke kommun;Jämtlands län;6478;3783,41;3408,09;375,32;0;0;1,9;;;Sweden
2505;Arvidsjaur;Arvidsjaurs kommun;Norrbottens län;6410;6126,3;5655,59;470,71;0;0;1,13;65,5947672;19,1695024;Sweden
821;;Högsby kommun;Kalmar län;6089;799,42;751,1;48,32;0;0;8,11;;;Sweden
2521;;Pajala kommun;Norrbottens län;6066;8050,71;7840,3;210,41;0;0;0,77;;;Sweden
2421;;Storumans kommun;Västerbottens län;5912;8234,13;7299,64;934,49;0;0;0,81;;;Sweden
2101;;Ockelbo kommun;Gävleborgs län;5898;1129,03;1064,76;64,27;0;0;5,54;;;Sweden
1962;;Norbergs kommun;Västmanlands län;5839;447,69;417,86;29,83;0;0;13,97;;;Sweden
1444;;Grästorps kommun;Västra Götalands län;5739;280,65;264,64;1,17;14,84;0;21,69;;;Sweden
1860;;Laxå kommun;Örebro län;5662;737,56;602;135,56;0;0;9,41;;;Sweden
1445;;Essunga kommun;Västra Götalands län;5636;235,68;234,58;1,1;0;0;24,03;;;Sweden
560;;Boxholms kommun;Östergötlands län;5444;603,87;525,74;78,13;0;0;10,35;;;Sweden
2404;;Vindelns kommun;Västerbottens län;5420;2846,87;2630,05;216,82;0;0;2,06;;;Sweden
2303;;Ragunda kommun;Jämtlands län;5414;2633,1;2510,96;122,14;0;0;2,16;;;Sweden
509;;Ödeshögs kommun;Östergötlands län;5336;669,08;434,06;16,31;218,71;0;12,29;;;Sweden
1447;;Gullspångs kommun;Västra Götalands län;5272;554,95;315,44;69,08;170,43;0;16,71;;;Sweden
2510;;Jokkmokks kommun;Norrbottens län;5059;19334,4;17600,76;1733,64;0;0;0,29;;;Sweden
1864;;Ljusnarsbergs kommun;Örebro län;4942;631,1;575,54;55,56;0;0;8,59;;;Sweden
1438;;Dals-Eds kommun;Västra Götalands län;4750;825,43;724,31;101,12;0;0;6,56;;;Sweden
1904;;Skinnskattebergs kommun;Västmanlands län;4438;718,18;659,42;58,76;0;0;6,73;;;Sweden
2518;;Övertorneå kommun;Norrbottens län;4425;2492,52;2362,3;130,22;0;0;1,87;;;Sweden
2417;;Norsjö kommun;Västerbottens län;4101;1923,58;1739,15;184,43;0;0;2,36;;;Sweden
1760;;Storfors kommun;Värmlands län;4078;472,71;391,68;81,03;0;0;10,41;;;Sweden
1762;;Munkfors kommun;Värmlands län;3758;147,97;141,58;6,39;0;0;26,54;;;Sweden
512;;Ydre kommun;Östergötlands län;3717;778,62;675,39;103,23;0;0;5,5;;;Sweden
2513;;Överkalix kommun;Norrbottens län;3346;2919,47;2764,52;154,95;0;0;1,21;;;Sweden
2418;;Malå kommun;Västerbottens län;3124;1727,48;1598,21;129,27;0;0;1,95;;;Sweden
2463;;Åsele kommun;Västerbottens län;2821;4543,71;4223,52;320,19;0;0;0,67;;;Sweden
2506;Arjeplog;Arjeplogs kommun;Norrbottens län;2809;14494,16;12557,59;1936,57;0;0;0,22;66,0517686;17,89168;Sweden
2425;;Dorotea kommun;Västerbottens län;2628;2939,91;2764,53;175,38;0;0;0,95;;;Sweden
2422;;Sorsele kommun;Västerbottens län;2531;7957,69;7367,04;590,65;0;0;0,34;;;Sweden
2403;;Bjurholms kommun;Västerbottens län;2474;1363,76;1306,77;56,99;0;0;1,89;;;Sweden
