1440;Ale kommun;Västra Götalands län;30399;332,13;317,01;15,12;0;0;95,89;95,8928740418283
1489;Alingsås kommun;Västra Götalands län;40566;551,16;472;79,16;0;0;85,94;85,9449152542373
764;Alvesta kommun;Kronobergs län;20022;1074,22;974,07;100,15;0;0;20,55;20,5549909144107
604;Aneby kommun;Jönköpings län;6774;553,89;517,68;36,21;0;0;13,09;13,0853036624942
1984;Arboga kommun;Västmanlands län;13950;419,38;325,4;6,02;87,96;0;42,87;42,8703134603565
2506;Arjeplogs kommun;Norrbottens län;2809;14494,16;12557,59;1936,57;0;0;0,22;0,22368941811287
2505;Arvidsjaurs kommun;Norrbottens län;6410;6126,3;5655,59;470,71;0;0;1,13;1,13339191843822
1784;Arvika kommun;Värmlands län;26063;1956,13;1649,03;307,1;0;0;15,81;15,805049028823
1882;Askersunds kommun;Örebro län;11211;1019,74;816,46;60,91;142,37;0;13,73;13,7312299439042
2084;Avesta kommun;Dalarnas län;23293;668,99;613,16;55,83;0;0;37,99;37,9884532585296
1460;Bengtsfors kommun;Västra Götalands län;9868;1059,18;882,98;176,2;0;0;11,18;11,1757910711454
2326;Bergs kommun;Jämtlands län;7111;6145,46;5710,18;435,28;0;0;1,25;1,24531976224918
2403;Bjurholms kommun;Västerbottens län;2474;1363,76;1306,77;56,99;0;0;1,89;1,89321762819777
1260;Bjuvs kommun;Skåne län;15455;115,8;115,31;0,49;0;0;134,03;134,030006070592
2582;Bodens kommun;Norrbottens län;28184;4291,66;4014,18;277,48;0;0;7,02;7,02111016446697
1443;Bollebygds kommun;Västra Götalands län;9284;282,39;263,16;19,23;0;0;35,28;35,2789177686578
2183;Bollnäs kommun;Gävleborgs län;27001;1976,64;1814,04;162,6;0;0;14,88;14,8844567925735
885;Borgholms kommun;Kalmar län;10866;3654,84;677,84;3,56;0;2973,44;16,03;16,0303316416854
2081;Borlänge kommun;Dalarnas län;52034;635,82;583,92;51,9;0;0;89,11;89,1115221263187
1490;Borås kommun;Västra Götalands län;111354;967,53;909,88;57,65;0;0;122,38;122,383171407219
127;Botkyrka kommun;Stockholms län;92097;222,29;194,15;10,74;4,67;12,73;474,36;474,36003090394
